Form,Section,Display_Label,Deluge_Name,Data_Type,Length,Mandatory,Unique,Default_Value,Picklist_Key,Formula,Notes
Policy_Master,F Financials,Current Term Premium,Current_Term_Premium,Currency,16.2,N,N,,,,
Policy_Master,F Financials,Annualized Premium,Annualized_Premium,Currency,16.2,N,N,,,,
Policy_Master,F Financials,Agency Commission,Agency_Commission,Currency,16.2,N,N,,,,
Policy_Master,F Financials,Commission Rate,Commission_Rate,Decimal,5.4,N,N,,,,Percent points (15 = 15%)
Policy_Master,F Financials,Agency Fee,Agency_Fee,Currency,16.2,N,N,,,,Shop fee ≠ commission
Policy_Master,F Financials,CRM Premium,CRM_Premium,Currency,16.2,N,N,,,,Last CRM value
Policy_Master,F Financials,Premium Delta,Premium_Delta,Formula Currency,,,N,,,Premium - CRM_Premium,Null-safe in formula
Policy_Master,F Financials,Premium Delta Pct,Premium_Delta_Pct,Formula Decimal,,,N,,,((Premium-CRM_Premium)/CRM_Premium)*100,0 if CRM_Premium 0
Policy_Master,G Lineage,Renewed Policy GUID,Renewed_Policy_GUID,Single Line,36,N,N,,,,Predecessor AMS GUID
Policy_Master,G Lineage,Predecessor Policy Number,Predecessor_Policy_Number,Single Line,100,N,N,,,,
Policy_Master,G Lineage,Successor Policy Number,Successor_Policy_Number,Single Line,100,N,N,,,,
Policy_Master,G Lineage,Rewrite Of,Rewrite_Of,Lookup Policy_Master,,N,N,,,,Self-lookup
Policy_Master,G Lineage,Is Rewrite,Is_Rewrite,Checkbox,,N,N,false,,,
Policy_Master,G Lineage,Sync Owner,Sync_Owner,Picklist,40,N,N,manual,sync_owner,,
Policy_Master,H Recon,Sync Status,Sync_Status,Picklist,20,N,N,,sync_status,,
Policy_Master,H Recon,Last Verdict,Last_Verdict,Picklist,40,N,N,,verdict,,
Policy_Master,H Recon,Last Confidence,Last_Confidence,Number,3,N,N,,,,0-100
Policy_Master,H Recon,Policy Tier,Policy_Tier,Picklist,5,N,N,C,policy_tier,,A/B/C
Policy_Master,H Recon,Assigned To,Assigned_To,Users,,N,N,,,,
Policy_Master,H Recon,Notes,Notes,Multi Line,32000,N,N,,,,Never overwrite from AMS
Policy_Master,H Recon,Approved To Push,Approved_To_Push,Checkbox,,N,N,false,,,Admin only
Policy_Master,H Recon,Approved By,Approved_By,Users,,N,N,,,,Required with Approved_At
Policy_Master,H Recon,Approved At,Approved_At,Date-Time,,N,N,,,,
Policy_Master,H Recon,Run Recon On Save,Run_Recon_On_Save,Checkbox,,N,N,false,,,Transient; clear after run
Policy_Master,H Recon,Pending Queue Jobs,Pending_Queue_Jobs,Number,5,N,N,0,,,Count of open sync jobs
